-0.24524,-0.24446,-1.3904,-1.3902
-0.24947,-0.24869,-1.3861,-1.3859
-0.25372,-0.25294,-1.3819,-1.3816
-0.25796,-0.25718,-1.3777,-1.3774
-0.26215,-0.26137,-1.3734,-1.3731
-0.26642,-0.26564,-1.3692,-1.3689
-0.27069,-0.26991,-1.3649,-1.3646
-0.27494,-0.27416,-1.3607,-1.3604
-0.27907,-0.2783,-1.3564,-1.3562
-0.28335,-0.28258,-1.3522,-1.3519
-0.28763,-0.28687,-1.348,-1.3477
-0.29186,-0.29109,-1.3437,-1.3434
-0.29605,-0.29529,-1.3395,-1.3392
-0.30034,-0.29958,-1.3352,-1.3349
-0.30457,-0.30381,-1.331,-1.3307
-0.30881,-0.30805,-1.3268,-1.3265
-0.31302,-0.31227,-1.3225,-1.3222
-0.31728,-0.31652,-1.3183,-1.318
-0.32152,-0.32077,-1.314,-1.3137
-0.32574,-0.325,-1.3098,-1.3095
-0.33002,-0.32928,-1.3055,-1.3052
-0.33425,-0.3335,-1.3013,-1.301
-0.33853,-0.33779,-1.297,-1.2967
-0.34273,-0.34199,-1.2928,-1.2925
-0.347,-0.34626,-1.2886,-1.2883
-0.35124,-0.3505,-1.2843,-1.284
-0.3555,-0.35476,-1.28,-1.2797
-0.35974,-0.359,-1.2758,-1.2755
-0.36392,-0.36319,-1.2716,-1.2713
-0.36822,-0.36749,-1.2673,-1.267
-0.37242,-0.37169,-1.2631,-1.2628
-0.37666,-0.37594,-1.2589,-1.2586
-0.38092,-0.3802,-1.2546,-1.2543
-0.38516,-0.38444,-1.2504,-1.25
-0.38942,-0.3887,-1.2461,-1.2458
-0.39365,-0.39293,-1.2419,-1.2416
-0.39794,-0.39723,-1.2377,-1.2373
-0.40214,-0.40142,-1.2334,-1.2331
-0.40638,-0.40567,-1.2292,-1.2289
-0.41064,-0.40993,-1.2249,-1.2246
-0.41488,-0.41417,-1.2207,-1.2204
-0.41906,-0.41835,-1.2164,-1.2161
